# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 18 12:14:25 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_pubdate:   Discovery Publication Date
# COLUMN disc_facility:  Discovery Facility
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,discoverymethod,disc_year,disc_pubdate,disc_facility,st_mass,glat,glon,sy_dist
14 Her b,Radial Velocity,2002,2003-01,W. M. Keck Observatory,0.90,46.94447,69.16849,17.9323000
16 Cyg B b,Radial Velocity,1996,1997-07,Multiple Observatories,1.08,13.20446,83.33558,21.1397000
16 Cyg B b,Radial Velocity,1996,1997-07,Multiple Observatories,0.98,13.20446,83.33558,21.1397000
16 Cyg B b,Radial Velocity,1996,1997-07,Multiple Observatories,1.00,13.20446,83.33558,21.1397000
16 Cyg B b,Radial Velocity,1996,1997-07,Multiple Observatories,,13.20446,83.33558,21.1397000
16 Cyg B b,Radial Velocity,1996,1997-07,Multiple Observatories,0.99,13.20446,83.33558,21.1397000
16 Cyg B b,Radial Velocity,1996,1997-07,Multiple Observatories,1.03,13.20446,83.33558,21.1397000
18 Del b,Radial Velocity,2008,2008-06,Okayama Astrophysical Observatory,2.10,-21.97480,58.69121,76.2220000
18 Del b,Radial Velocity,2008,2008-06,Okayama Astrophysical Observatory,2.30,-21.97480,58.69121,76.2220000
1RXS J160929.1-210524 b,Imaging,2008,2008-12,Gemini Observatory,0.85,22.03031,352.89050,139.1350000
1RXS J160929.1-210524 b,Imaging,2008,2008-12,Gemini Observatory,0.85,22.03031,352.89050,139.1350000
1RXS J160929.1-210524 b,Imaging,2008,2008-12,Gemini Observatory,0.62,22.03031,352.89050,139.1350000
1RXS J160929.1-210524 b,Imaging,2008,2008-12,Gemini Observatory,0.85,22.03031,352.89050,139.1350000
24 Boo b,Radial Velocity,2018,2018-08,Okayama Astrophysical Observatory,0.99,60.64470,90.16373,95.9863000
24 Sex b,Radial Velocity,2010,2011-01,Lick Observatory,1.54,44.71580,245.08569,72.0691000
24 Sex c,Radial Velocity,2010,2011-01,Lick Observatory,1.54,44.71580,245.08569,72.0691000
2MASS J01033563-5515561 AB b,Imaging,2013,2013-05,Paranal Observatory,0.19,-61.77586,299.26888,
2MASS J01225093-2439505 b,Imaging,2013,2013-09,W. M. Keck Observatory,0.40,-82.51990,195.45385,33.8281000
2MASS J01225093-2439505 b,Imaging,2013,2013-09,W. M. Keck Observatory,0.35,-82.51990,195.45385,33.8281000
2MASS J02192210-3925225 b,Imaging,2015,2015-06,Cerro Tololo Inter-American Observatory,0.11,-67.98402,252.45343,
2MASS J04414489+2301513 b,Imaging,2010,2010-05,Hubble Space Telescope,0.02,-15.11435,176.51065,
2MASS J12073346-3932539 b,Imaging,2004,2004-10,Paranal Observatory,0.02,22.54309,293.79011,64.3080000
2MASS J12073346-3932539 b,Imaging,2004,2004-10,Paranal Observatory,0.19,22.54309,293.79011,64.3080000
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,2015-05,Kepler,0.48,11.67426,79.01876,396.3320000
2MASS J21402931+1625183 A b,Imaging,2009,2010-03,W. M. Keck Observatory,0.08,-26.43736,70.48456,
2MASS J22362452+4751425 b,Imaging,2016,2017-01,W. M. Keck Observatory,0.60,-9.10923,100.74846,69.5737000
30 Ari B b,Radial Velocity,2009,2009-12,Thueringer Landessternwarte Tautenburg,1.16,-32.30930,151.47681,44.6570000
30 Ari B b,Radial Velocity,2009,2009-12,Thueringer Landessternwarte Tautenburg,1.16,-32.30930,151.47681,44.6570000
30 Ari B b,Radial Velocity,2009,2009-12,Thueringer Landessternwarte Tautenburg,1.93,-32.30930,151.47681,44.6570000
4 UMa b,Radial Velocity,2006,2007-09,Thueringer Landessternwarte Tautenburg,1.23,35.95654,151.35882,73.4603000
42 Dra b,Radial Velocity,2008,2009-06,Thueringer Landessternwarte Tautenburg,0.98,27.12504,95.41912,90.6545000
47 UMa b,Radial Velocity,1996,1996-06,Lick Observatory,1.06,63.36770,175.78305,13.7967000
47 UMa b,Radial Velocity,1996,1996-06,Lick Observatory,1.01,63.36770,175.78305,13.7967000
47 UMa b,Radial Velocity,1996,1996-06,Lick Observatory,1.06,63.36770,175.78305,13.7967000
47 UMa b,Radial Velocity,1996,1996-06,Lick Observatory,,63.36770,175.78305,13.7967000
47 UMa b,Radial Velocity,1996,1996-06,Lick Observatory,,63.36770,175.78305,13.7967000
47 UMa c,Radial Velocity,2001,2002-01,Lick Observatory,1.06,63.36770,175.78305,13.7967000
47 UMa c,Radial Velocity,2001,2002-01,Lick Observatory,1.01,63.36770,175.78305,13.7967000
47 UMa c,Radial Velocity,2001,2002-01,Lick Observatory,,63.36770,175.78305,13.7967000
47 UMa d,Radial Velocity,2009,2010-04,Lick Observatory,1.01,63.36770,175.78305,13.7967000
47 UMa d,Radial Velocity,2009,2010-04,Lick Observatory,1.06,63.36770,175.78305,13.7967000
51 Eri b,Imaging,2015,2015-00,Gemini Observatory,1.75,-30.65764,198.61297,29.7575000
51 Eri b,Imaging,2015,2015-00,Gemini Observatory,1.65,-30.65764,198.61297,29.7575000
51 Eri b,Imaging,2015,2015-00,Gemini Observatory,1.65,-30.65764,198.61297,29.7575000
51 Peg b,Radial Velocity,1995,1995-11,Haute-Provence Observatory,1.07,-34.72750,90.06374,15.4614000
51 Peg b,Radial Velocity,1995,1995-11,Haute-Provence Observatory,,-34.72750,90.06374,15.4614000
51 Peg b,Radial Velocity,1995,1995-11,Haute-Provence Observatory,1.03,-34.72750,90.06374,15.4614000
51 Peg b,Radial Velocity,1995,1995-11,Haute-Provence Observatory,,-34.72750,90.06374,15.4614000
51 Peg b,Radial Velocity,1995,1995-11,Haute-Provence Observatory,1.04,-34.72750,90.06374,15.4614000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.97,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.85,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.91,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc b,Radial Velocity,1996,1997-01,Lick Observatory,,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.97,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc c,Radial Velocity,2004,2004-10,McDonald Observatory,0.91,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.91,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.97,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,,37.69663,196.79526,12.5855000
55 Cnc d,Radial Velocity,2002,2002-12,Lick Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.97,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.87,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.91,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.95,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.96,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.91,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,0.90,37.69663,196.79526,12.5855000
55 Cnc e,Radial Velocity,2004,2004-10,McDonald Observatory,,37.69663,196.79526,12.5855000
55 Cnc f,Radial Velocity,2007,2008-03,Multiple Observatories,0.90,37.69663,196.79526,12.5855000
55 Cnc f,Radial Velocity,2007,2008-03,Multiple Observatories,0.97,37.69663,196.79526,12.5855000
55 Cnc f,Radial Velocity,2007,2008-03,Multiple Observatories,0.90,37.69663,196.79526,12.5855000
55 Cnc f,Radial Velocity,2007,2008-03,Multiple Observatories,0.91,37.69663,196.79526,12.5855000
55 Cnc f,Radial Velocity,2007,2008-03,Multiple Observatories,0.90,37.69663,196.79526,12.5855000
55 Cnc f,Radial Velocity,2007,2008-03,Multiple Observatories,0.90,37.69663,196.79526,12.5855000
55 Cnc f,Radial Velocity,2007,2008-03,Multiple Observatories,0.95,37.69663,196.79526,12.5855000
6 Lyn b,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.70,20.18918,156.97286,54.6599000
6 Lyn b,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.82,20.18918,156.97286,54.6599000
6 Lyn b,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.44,20.18918,156.97286,54.6599000
61 Vir b,Radial Velocity,2009,2010-01,Multiple Observatories,0.94,44.08875,311.85177,8.5033200
61 Vir b,Radial Velocity,2009,2010-01,Multiple Observatories,0.91,44.08875,311.85177,8.5033200
61 Vir c,Radial Velocity,2009,2010-01,Multiple Observatories,0.94,44.08875,311.85177,8.5033200
61 Vir c,Radial Velocity,2009,2010-01,Multiple Observatories,0.91,44.08875,311.85177,8.5033200
61 Vir d,Radial Velocity,2009,2010-01,Multiple Observatories,0.94,44.08875,311.85177,8.5033200
7 CMa b,Radial Velocity,2011,2011-12,Anglo-Australian Telescope,1.34,-11.79597,228.68876,19.8101000
7 CMa b,Radial Velocity,2011,2011-12,Anglo-Australian Telescope,,-11.79597,228.68876,19.8101000
7 CMa b,Radial Velocity,2011,2011-12,Anglo-Australian Telescope,1.52,-11.79597,228.68876,19.8101000
7 CMa c,Radial Velocity,2019,2019-11,Multiple Observatories,1.34,-11.79597,228.68876,19.8101000
70 Vir b,Radial Velocity,1996,1996-06,Lick Observatory,1.06,74.09910,337.65749,17.9011000
70 Vir b,Radial Velocity,1996,1996-06,Lick Observatory,1.09,74.09910,337.65749,17.9011000
70 Vir b,Radial Velocity,1996,1996-06,Lick Observatory,1.09,74.09910,337.65749,17.9011000
70 Vir b,Radial Velocity,1996,1996-06,Lick Observatory,,74.09910,337.65749,17.9011000
70 Vir b,Radial Velocity,1996,1996-06,Lick Observatory,1.11,74.09910,337.65749,17.9011000
70 Vir b,Radial Velocity,1996,1996-06,Lick Observatory,1.14,74.09910,337.65749,17.9011000
75 Cet b,Radial Velocity,2012,2012-12,Okayama Astrophysical Observatory,2.49,-54.44177,169.94418,82.9613000
8 UMi b,Radial Velocity,2015,2015-12,Bohyunsan Optical Astronomical Observatory,1.80,39.66099,112.79492,162.5520000
8 UMi b,Radial Velocity,2015,2015-12,Bohyunsan Optical Astronomical Observatory,1.44,39.66099,112.79492,162.5520000
81 Cet b,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.60,-55.24995,174.48697,101.2600000
81 Cet b,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,2.40,-55.24995,174.48697,101.2600000
91 Aqr b,Radial Velocity,2013,2013-07,Lick Observatory,1.40,-61.11327,67.07416,44.0304000
AB Pic b,Imaging,2005,2005-08,Paranal Observatory,,-26.93081,266.94347,50.0475000
AU Mic b,Transit,2020,2020-06,Transiting Exoplanet Survey Satellite (TESS),0.50,-36.80401,12.65304,9.7221000
BD+03 2562 b,Radial Velocity,2017,2017-10,Multiple Observatories,1.14,61.57342,269.32522,1070.6300000
BD+14 4559 b,Radial Velocity,2009,2009-12,McDonald Observatory,0.86,-22.63172,64.41837,49.3520000
BD+14 4559 b,Radial Velocity,2009,2009-12,McDonald Observatory,0.49,-22.63172,64.41837,49.3520000
BD+15 2375 b,Radial Velocity,2016,2016-04,Roque de los Muchachos Observatory,1.08,70.27244,249.00212,768.0450000
BD+15 2940 b,Radial Velocity,2013,2013-06,McDonald Observatory,1.10,44.78011,28.10432,426.4200000
BD+20 2457 b,Radial Velocity,2009,2009-12,McDonald Observatory,2.80,53.95226,216.04472,1539.7100000
BD+20 2457 b,Radial Velocity,2009,2009-12,McDonald Observatory,10.83,53.95226,216.04472,1539.7100000
BD+20 2457 c,Radial Velocity,2009,2009-12,McDonald Observatory,2.80,53.95226,216.04472,1539.7100000
BD+20 274 b,Radial Velocity,2012,2012-09,McDonald Observatory,0.80,-40.23345,138.97420,1322.5100000
BD+20 594 b,Transit,2016,2016-10,K2,0.96,-28.05348,166.79660,179.4610000
BD+20 594 b,Transit,2016,2016-10,K2,0.96,-28.05348,166.79660,179.4610000
BD+20 594 b,Transit,2016,2016-10,K2,,-28.05348,166.79660,179.4610000
BD+20 594 b,Transit,2016,2016-10,K2,1.67,-28.05348,166.79660,179.4610000
BD+45 564 b,Radial Velocity,2021,2021-05,Haute-Provence Observatory,0.81,-14.70463,137.23205,53.6220000
BD+48 738 b,Radial Velocity,2011,2012-01,McDonald Observatory,0.74,-9.37870,140.80848,871.4930000
BD+48 740 b,Radial Velocity,2018,2018-05,Multiple Observatories,1.09,-9.96534,141.10904,666.5890000
BD+49 828 b,Radial Velocity,2015,2015-04,McDonald Observatory,1.52,-7.80173,143.61792,442.0420000
BD+55 362 b,Radial Velocity,2021,2021-05,Haute-Provence Observatory,0.91,-5.64657,129.03163,52.5697000
BD+63 1405 b,Radial Velocity,2021,2021-05,Haute-Provence Observatory,0.82,29.15130,93.08126,38.0473000
BD-00 4475 b,Radial Velocity,2021,2021-05,Haute-Provence Observatory,0.81,-53.35536,77.53408,42.6402000
BD-06 1339 b,Radial Velocity,2013,2013-03,La Silla Observatory,0.70,-15.71602,211.65797,20.2695000
BD-06 1339 c,Radial Velocity,2013,2013-03,La Silla Observatory,0.70,-15.71602,211.65797,20.2695000
BD-08 2823 b,Radial Velocity,2009,2010-03,La Silla Observatory,0.50,34.75486,248.49513,41.3342000
BD-08 2823 b,Radial Velocity,2009,2010-03,La Silla Observatory,0.74,34.75486,248.49513,41.3342000
BD-08 2823 c,Radial Velocity,2009,2010-03,La Silla Observatory,0.74,34.75486,248.49513,41.3342000
BD-10 3166 b,Radial Velocity,2000,2000-12,W. M. Keck Observatory,1.00,43.23793,263.28467,84.4069000
BD-10 3166 b,Radial Velocity,2000,2000-12,W. M. Keck Observatory,1.10,43.23793,263.28467,84.4069000
BD-10 3166 b,Radial Velocity,2000,2000-12,W. M. Keck Observatory,1.47,43.23793,263.28467,84.4069000
BD-10 3166 b,Radial Velocity,2000,2000-12,W. M. Keck Observatory,1.01,43.23793,263.28467,84.4069000
BD-11 4672 b,Radial Velocity,2014,2015-04,La Silla Observatory,0.65,-1.35959,20.54287,27.1665000
BD-11 4672 b,Radial Velocity,2014,2015-04,La Silla Observatory,0.57,-1.35959,20.54287,27.1665000
BD-11 4672 c,Radial Velocity,2020,2020-06,Roque de los Muchachos Observatory,0.65,-1.35959,20.54287,27.1665000
BD-13 2130 b,Radial Velocity,2007,2007-09,La Silla Observatory,2.40,3.53127,230.52055,925.2140000
BD-13 2130 b,Radial Velocity,2007,2007-09,La Silla Observatory,2.12,3.53127,230.52055,925.2140000
BD-17 63 b,Radial Velocity,2008,2009-03,La Silla Observatory,0.74,-77.87825,95.83026,34.4603000
BD-17 63 b,Radial Velocity,2008,2009-03,La Silla Observatory,0.31,-77.87825,95.83026,34.4603000
CFBDSIR J145829+101343 b,Imaging,2011,2011-10,W. M. Keck Observatory,0.02,55.65506,9.59427,
CFHTWIR-Oph 98 b,Imaging,2021,2020-12,Hubble Space Telescope,0.01,16.96444,353.60499,
CHXR 73 b,Imaging,2006,2006-10,Hubble Space Telescope,0.35,-15.92181,297.27760,190.3740000
CI Tau b,Radial Velocity,2019,2019-06,Multiple Observatories,0.90,-16.63607,175.46435,157.9980000
CT Cha b,Imaging,2007,2008-11,Paranal Observatory,,-14.90929,296.65359,190.7200000
CoRoT-1 b,Transit,2008,2008-05,CoRoT,0.95,-2.10712,215.33882,787.9090000
CoRoT-1 b,Transit,2008,2008-05,CoRoT,1.03,-2.10712,215.33882,787.9090000
CoRoT-1 b,Transit,2008,2008-05,CoRoT,1.22,-2.10712,215.33882,787.9090000
CoRoT-1 b,Transit,2008,2008-05,CoRoT,,-2.10712,215.33882,787.9090000
CoRoT-1 b,Transit,2008,2008-05,CoRoT,0.95,-2.10712,215.33882,787.9090000
CoRoT-10 b,Transit,2010,2010-09,CoRoT,0.89,-6.95299,37.36069,338.3860000
CoRoT-10 b,Transit,2010,2010-09,CoRoT,0.89,-6.95299,37.36069,338.3860000
CoRoT-10 b,Transit,2010,2010-09,CoRoT,0.90,-6.95299,37.36069,338.3860000
CoRoT-11 b,Transit,2010,2010-12,CoRoT,1.27,4.63005,37.24009,655.0370000
CoRoT-11 b,Transit,2010,2010-12,CoRoT,1.26,4.63005,37.24009,655.0370000
CoRoT-11 b,Transit,2010,2010-12,CoRoT,1.27,4.63005,37.24009,655.0370000
CoRoT-11 b,Transit,2010,2010-12,CoRoT,1.56,4.63005,37.24009,655.0370000
CoRoT-11 b,Transit,2010,2010-12,CoRoT,1.23,4.63005,37.24009,655.0370000
CoRoT-12 b,Transit,2010,2010-09,CoRoT,1.00,-2.45441,213.13155,1126.3700000
CoRoT-12 b,Transit,2010,2010-09,CoRoT,1.08,-2.45441,213.13155,1126.3700000
CoRoT-12 b,Transit,2010,2010-09,CoRoT,1.02,-2.45441,213.13155,1126.3700000
CoRoT-12 b,Transit,2010,2010-09,CoRoT,1.08,-2.45441,213.13155,1126.3700000
CoRoT-13 b,Transit,2010,2010-11,CoRoT,1.09,-2.43966,217.39860,1148.9300000
CoRoT-13 b,Transit,2010,2010-11,CoRoT,1.09,-2.43966,217.39860,1148.9300000
CoRoT-13 b,Transit,2010,2010-11,CoRoT,1.09,-2.43966,217.39860,1148.9300000
CoRoT-14 b,Transit,2010,2011-04,CoRoT,1.13,-2.02059,218.11787,1744.6000000
CoRoT-14 b,Transit,2010,2011-04,CoRoT,1.12,-2.02059,218.11787,1744.6000000
CoRoT-14 b,Transit,2010,2011-04,CoRoT,1.13,-2.02059,218.11787,1744.6000000
CoRoT-16 b,Transit,2011,2012-05,CoRoT,1.10,1.10110,25.61433,732.4090000
CoRoT-16 b,Transit,2011,2012-05,CoRoT,1.10,1.10110,25.61433,732.4090000
CoRoT-17 b,Transit,2011,2011-07,CoRoT,1.04,0.66631,25.15299,1176.1200000
CoRoT-17 b,Transit,2011,2011-07,CoRoT,1.04,0.66631,25.15299,1176.1200000
CoRoT-17 b,Transit,2011,2011-07,CoRoT,1.04,0.66631,25.15299,1176.1200000
CoRoT-18 b,Transit,2011,2011-09,CoRoT,0.88,-4.18491,210.81910,764.8890000
CoRoT-18 b,Transit,2011,2011-09,CoRoT,0.95,-4.18491,210.81910,764.8890000
CoRoT-18 b,Transit,2011,2011-09,CoRoT,0.95,-4.18491,210.81910,764.8890000
CoRoT-18 b,Transit,2011,2011-09,CoRoT,0.86,-4.18491,210.81910,764.8890000
CoRoT-19 b,Transit,2011,2012-01,CoRoT,1.18,-5.26125,210.42057,790.6630000
CoRoT-19 b,Transit,2011,2012-01,CoRoT,1.21,-5.26125,210.42057,790.6630000
CoRoT-19 b,Transit,2011,2012-01,CoRoT,1.21,-5.26125,210.42057,790.6630000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,,-7.29102,38.26267,213.2830000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,1.02,-7.29102,38.26267,213.2830000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,0.97,-7.29102,38.26267,213.2830000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,0.96,-7.29102,38.26267,213.2830000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,,-7.29102,38.26267,213.2830000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,1.00,-7.29102,38.26267,213.2830000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,0.97,-7.29102,38.26267,213.2830000
CoRoT-2 b,Transit,2008,2008-05,CoRoT,0.97,-7.29102,38.26267,213.2830000
CoRoT-20 b,Transit,2011,2012-02,CoRoT,1.14,-4.46860,210.38123,844.0610000
CoRoT-20 b,Transit,2011,2012-02,CoRoT,1.14,-4.46860,210.38123,844.0610000
CoRoT-20 b,Transit,2011,2012-02,CoRoT,1.14,-4.46860,210.38123,844.0610000
CoRoT-20 b,Transit,2011,2012-02,CoRoT,1.10,-4.46860,210.38123,844.0610000
CoRoT-20 b,Transit,2011,2012-02,CoRoT,1.11,-4.46860,210.38123,844.0610000
CoRoT-20 c,Radial Velocity,2018,2018-07,Multiple Observatories,1.14,-4.46860,210.38123,844.0610000
CoRoT-21 b,Transit,2012,2012-09,CoRoT,1.29,-1.74447,212.37415,
CoRoT-21 b,Transit,2012,2012-09,CoRoT,1.29,-1.74447,212.37415,
CoRoT-22 b,Transit,2014,2014-08,CoRoT,1.10,4.77500,37.48307,627.1580000
CoRoT-23 b,Transit,2011,2012-01,CoRoT,1.14,4.71959,35.41749,1060.9700000
CoRoT-23 b,Transit,2011,2012-01,CoRoT,1.14,4.71959,35.41749,1060.9700000
CoRoT-23 b,Transit,2011,2012-01,CoRoT,1.12,4.71959,35.41749,1060.9700000
CoRoT-24 b,Transit,2014,2014-07,CoRoT,0.91,-2.52763,215.81744,591.5550000
CoRoT-24 c,Transit,2014,2014-07,CoRoT,0.91,-2.52763,215.81744,591.5550000
CoRoT-25 b,Transit,2013,2013-07,CoRoT,1.09,4.94113,37.73014,1103.4800000
CoRoT-25 b,Transit,2013,2013-07,CoRoT,1.09,4.94113,37.73014,1103.4800000
CoRoT-26 b,Transit,2013,2013-07,CoRoT,1.09,5.92600,37.74453,1045.1800000
CoRoT-26 b,Transit,2013,2013-07,CoRoT,1.09,5.92600,37.74453,1045.1800000
CoRoT-27 b,Transit,2014,2014-02,CoRoT,1.05,6.39649,35.89455,1010.2800000
CoRoT-27 b,Transit,2014,2014-02,CoRoT,1.05,6.39649,35.89455,1010.2800000
CoRoT-28 b,Transit,2015,2015-07,CoRoT,1.01,6.24131,36.01305,766.1830000
CoRoT-28 b,Transit,2015,2015-07,CoRoT,1.01,6.24131,36.01305,766.1830000
CoRoT-29 b,Transit,2015,2015-07,CoRoT,0.97,6.45872,36.92336,806.5070000
CoRoT-29 b,Transit,2015,2015-07,CoRoT,0.90,6.45872,36.92336,806.5070000
CoRoT-29 b,Transit,2015,2015-07,CoRoT,0.97,6.45872,36.92336,806.5070000
CoRoT-3 b,Transit,2008,2008-12,CoRoT,1.37,-8.12065,37.26302,768.7710000
CoRoT-3 b,Transit,2008,2008-12,CoRoT,1.41,-8.12065,37.26302,768.7710000
CoRoT-3 b,Transit,2008,2008-12,CoRoT,1.37,-8.12065,37.26302,768.7710000
CoRoT-3 b,Transit,2008,2008-12,CoRoT,1.36,-8.12065,37.26302,768.7710000
CoRoT-3 b,Transit,2008,2008-12,CoRoT,1.40,-8.12065,37.26302,768.7710000
